gene	log2FC	p	padj	n
AAMDC	0.444801898407983	0.00845367329856035	0.872406092034194	17
LOC284009	-0.56085173926878	0.00861820093737549	0.872406092034194	17
GRIP1	-1.02966609811804	0.00869818083456662	0.872406092034194	17
RAD51	-1.0708456497899	0.00885331498392834	0.872406092034194	17
DKK1	-1.10482712890637	0.00899970992160466	0.872406092034194	17
CLDN10	-0.426333938325347	0.00912262475624677	0.872406092034194	17
KCNB1	0.447972047392891	0.00929979970214709	0.872406092034194	17
NFAT5	0.457672383529178	0.00932127241183163	0.872406092034194	17
ZNF230	-0.963607543562929	0.00936959061957145	0.872406092034194	17
MAGEA1	-0.918397509168411	0.00946825218357346	0.872406092034194	17
PCYOX1	0.695796789330755	0.00974494878100437	0.872406092034194	17
CCDC91	0.379445377299607	0.00974834261909001	0.872406092034194	17
KRI1	-0.648589698678727	0.00980800179278473	0.872406092034194	17
ANKS1A	0.443549126374184	0.00983041226971041	0.872406092034194	17
SCARB1	0.411564400931394	0.00984895414207479	0.872406092034194	17
RBPJL	-0.587349389280463	0.00985115869456077	0.872406092034194	17
SQLE	-0.562780417541888	0.0098651861055798	0.872406092034194	17
GSTM1	0.436334241862054	0.00991581811598592	0.872406092034194	17
DGCR5	-1.18470551010653	0.00998777829430433	0.872406092034194	17
NOVA2	-1.09208545887049	0.0100658965292925	0.872406092034194	17
AAAS	1.20571305758813	0.0101261718551329	0.872406092034194	17
CYP2E1	-1.1582716546613	0.0101395464567056	0.872406092034194	17
SESN1	0.474125773677688	0.0101608841845228	0.872406092034194	17
KLRF1	0.689604310574885	0.0102069894455391	0.872406092034194	17
PCSK5	0.313454826967304	0.0102968331062875	0.872406092034194	17
HS3ST2	-0.509347053260788	0.0104252986725927	0.872406092034194	17
SDC3	0.761959334435473	0.0104309203959846	0.872406092034194	17
ANKLE2	-0.342396612576153	0.0104732404448062	0.872406092034194	17
RAB25	-1.3105824097938	0.0105268540168428	0.872406092034194	17
ABCB9	-0.812648658948031	0.0105783946934856	0.872406092034194	17
ACTA1	-1.37931039430272	0.01066836226271	0.872406092034194	17
GSTM3	0.767746395293618	0.0108584221438406	0.872406092034194	17
KIAA1644	-0.911632720005686	0.0108676484118353	0.872406092034194	17
SCD	0.853753939111905	0.0109527957479586	0.872406092034194	17
HNRNPA3	-0.325989857157655	0.0111610128904057	0.872406092034194	17
CHGA	-1.46615317444685	0.0111633531353133	0.872406092034194	17
ATP11B	0.49981809818189	0.0111807428576745	0.872406092034194	17
NQO1	0.932769658982133	0.0111834664342949	0.872406092034194	17
NOP14-AS1	-0.799015457810936	0.0112012396712717	0.872406092034194	17
RHCG	-1.07412312691716	0.0113044997953327	0.872406092034194	17
EPX	0.723691067935884	0.0113220356892124	0.872406092034194	17
ESYT1	0.490430134150812	0.0113487671130402	0.872406092034194	17
HR	-0.634665762198294	0.0114290439685085	0.872406092034194	17
LOC101928789	0.564554057896968	0.0115147760056308	0.872406092034194	17
LMTK2	-1.32618501407793	0.0115469056850707	0.872406092034194	17
VPS4B	0.463859586834829	0.0115483991813129	0.872406092034194	17
FBXO9	0.37847861026636	0.0116745614395063	0.872406092034194	17
COX7A2L	0.370991888519248	0.0117582125117234	0.872406092034194	17
FXN	-0.394971867341799	0.0118832230948709	0.872406092034194	17
THEG	-1.13752783432015	0.0118880336439595	0.872406092034194	17
PIAS1	0.454556510233138	0.0119986490232674	0.872406092034194	17
SPRR2C	-0.844249462220855	0.0121393918027455	0.872406092034194	17
MZB1	-0.909905889346246	0.0121496173716547	0.872406092034194	17
TPM3	-0.58297838208341	0.0122377309497353	0.872406092034194	17
FAM49A	-0.442771105014747	0.0123828508619882	0.872406092034194	17
CELF2	0.355363130652395	0.0124495059380865	0.872406092034194	17
KMO	-0.675964360319257	0.0124985724703968	0.872406092034194	17
ADORA2B	-0.420629340838861	0.012588047369439	0.872406092034194	17
TGFBR3	0.629884180221759	0.0125945634439586	0.872406092034194	17
WDR74	-0.378101514305123	0.0127281073420487	0.872406092034194	17
TEAD1	0.650183041318674	0.0127375031184528	0.872406092034194	17
FASTKD2	-0.327332591084659	0.0128130486346417	0.872406092034194	17
