Gene	log2FC	P.Value	adj.P.Val	n
DNAJB8-AS1	1.14178754689661	0.404328189271477	NA	16
GIPC1	-0.0757165053814461	0.404373970047642	0.93291114578683	16
AC091925.1	0.498690267989199	0.404385235988067	NA	16
LINC00640	0.346405538996782	0.404484995298379	0.93304367474766	16
SBNO1	-0.0349051114337628	0.404534747344617	0.93304367474766	16
AC090651.1	0.315141272571627	0.404545168687072	0.93304367474766	16
UBE2E1-AS1	-0.603781542251183	0.404594345799452	NA	16
LINC02062	-0.223162985296368	0.404693776791142	0.933048267655812	16
IFIT2	-0.107286124768058	0.404719808483271	0.933048267655812	16
RPL12P11	0.277467919493417	0.404796436431723	0.933048267655812	16
SNORA7B	0.161603033340397	0.40482305712371	0.933048267655812	16
EGLN3	0.158624699885104	0.404833262061688	0.933048267655812	16
CRNKL1	-0.0511231366232585	0.404844289564302	0.933048267655812	16
PNN	-0.066331269091876	0.404854655649317	0.933048267655812	16
ZNF7	-0.0543327163892351	0.404878236529817	0.933048267655812	16
RNPS1	0.091157009844367	0.404888422076188	0.933048267655812	16
AL132780.2	0.247391920297186	0.40493035928634	0.933057528884629	16
AC069282.1	0.176955163175314	0.404971529798054	0.933065021885834	16
AC079949.3	-1.09799146399112	0.404977897920347	NA	16
PPARG	-0.088367250975957	0.405030615989166	0.933098864454489	16
AP003170.1	0.243462365512361	0.405062058361558	0.933098864454489	16
GPX7	-0.124308146084521	0.405110301425836	0.933122642252695	16
AP005019.2	1.28758223725575	0.40512184453818	NA	16
AC012363.1	-1.25822088836112	0.405166125001992	NA	16
TRIM63	-0.367990944029983	0.405249140077037	0.93331565227212	16
AC244517.6	-0.66693873632844	0.405260704575745	NA	16
MAP3K7CL	0.288861792858524	0.405269953449327	0.93331565227212	16
LINC02419	0.7878095905785	0.405285300183942	NA	16
SNORD93	0.452354246905528	0.405339285554618	NA	16
AC087284.1	-0.209576050570265	0.405368425634183	0.933327225743227	16
FANCM	-0.0783438520448309	0.405387083904524	0.933327225743227	16
ZNF583	-0.0852874531431572	0.405430910625684	0.933327225743227	16
PLA2G2F	0.939650808407332	0.405458299101037	NA	16
CCNL1	0.064166096740779	0.405482048572762	0.933327225743227	16
MIR151B	0.674242450096622	0.405490143262979	NA	16
RNF103-CHMP3	0.582712783368557	0.40552467414044	NA	16
AC010632.2	-0.256871825461121	0.405526557953682	0.933327225743227	16
VGLL4	-0.0627937717174948	0.405527613038397	0.933327225743227	16
OMP	-0.69360470248802	0.405535571211267	NA	16
CPTP	0.0855625611188194	0.405540484319364	0.933327225743227	16
RN7SL745P	-0.733109220161794	0.40561049729227	NA	16
UBR4	0.06275486291375	0.405650530759856	0.933493183429137	16
MTND3P10	1.10368504650497	0.405730371212468	NA	16
PIGQ	0.0711651855103259	0.405779683720928	0.933645848042194	16
MORF4L2-AS1	-0.202489271492963	0.405792755915441	0.933645848042194	16
AC008750.2	0.727042986049006	0.405885664664085	NA	16
NUAK2	0.266037856560942	0.405940930318461	0.93375058030505	16
GALNT4	0.215376288559453	0.405943042020694	0.93375058030505	16
CUL2	-0.0546355660999666	0.405952115581072	0.93375058030505	16
HNRNPA1	-0.0893324001083618	0.406025578120203	0.93379052340532	16
TREML4	0.534676361942873	0.406067268186025	0.93379052340532	16
RC3H2	-0.0589280954021377	0.406111873321182	0.93379052340532	16
NUDC	-0.0669488706015452	0.40612313956533	0.93379052340532	16
RNA5SP67	-0.873833670844906	0.406128560497503	NA	16
AGBL4	0.287104776988832	0.40616019602912	0.93379052340532	16
LINC01910	1.16640153186513	0.406172446664204	NA	16
AC104771.1	-0.670594090920568	0.406229461096332	NA	16
ALDH7A1P2	-0.710660173060163	0.406249749731461	NA	16
IFITM3P2	1.32681088650486	0.406266123346452	NA	16
AL359182.1	-0.18787929389361	0.406302832629166	0.93379052340532	16
AL355852.1	0.422590140133549	0.406321724977292	NA	16
SCFD1	-0.0790501403540571	0.406323205748188	0.93379052340532	16
STAT3	0.0730749825045491	0.406325585540807	0.93379052340532	16
AL096870.2	0.255016815035742	0.406391676115138	0.93379052340532	16
SYNM	0.0778143564073909	0.406406865473764	0.93379052340532	16
FAM170B	-1.23986344953824	0.406438341142801	NA	16
RGMB	0.117060170000338	0.406446541246267	0.93379052340532	16
AC004706.1	-0.575103510135357	0.40645598999899	NA	16
AC092608.2	-0.317459202371347	0.406461823802614	0.93379052340532	16
RPL10AP1	-0.251646173355506	0.406462807176592	0.93379052340532	16
ZKSCAN5	-0.0488206575932027	0.40651340054637	0.933810038343152	16
FAUP2	-1.32978965858364	0.40651838901096	NA	16
LINC02752	0.491038193757274	0.406582123642378	NA	16
SPDEF	-0.710912953777993	0.406589789804498	NA	16
PPP2R5B	0.0704518290730071	0.406594244057828	0.933810038343152	16
MIR4642	0.939657894272069	0.406599990007682	NA	16
LCK	0.232164507636546	0.40661494195222	0.933810038343152	16
SH3GL3	-0.860392914588824	0.406621975317952	NA	16
AC093677.3	1.1318521629059	0.406699275176167	NA	16
RIMKLA	-0.182681827193177	0.406705332690969	0.933810038343152	16
AC084880.1	0.223738777282071	0.406718834928164	0.933810038343152	16
MUS81	0.0767069772327139	0.406752486919713	0.933810038343152	16
UBN1	0.0679279232155961	0.406784851336486	0.933810038343152	16
U4	0.6882138797169	0.406791348156649	NA	16
RN7SKP74	-0.252519251387531	0.406793309702372	0.933810038343152	16
RNU6-101P	0.679423437733059	0.406813411830893	NA	16
AC019155.1	-1.13681011607999	0.406844555609807	NA	16
AC073476.2	0.208936902863205	0.406869031287323	0.933810038343152	16
MTCO1P30	0.830197165442305	0.406871468121213	NA	16
TRPM3	0.339304890241844	0.406878165594329	0.933810038343152	16
CYB5R4	0.0822268964292903	0.406908533044236	0.933810038343152	16
LINC01973	0.783775608054218	0.406917912556479	NA	16
MTATP6P20	-1.26263113060081	0.406924303546586	NA	16
FAM20C	0.135488499949297	0.406926689200375	0.933810038343152	16
AC008638.3	-0.916606693540239	0.406948437879374	NA	16
AL121790.1	0.467918857360609	0.407035221217719	NA	16
AC093323.3	0.543744909601435	0.407096618331769	NA	16
FAM104A	-0.0620306690380917	0.407107257968974	0.934110682247534	16
UBE2Q2P2	-0.290393873680879	0.407133623241549	0.934110682247534	16
MEIG1	0.559441137102636	0.407155121320335	NA	16
HOXD10	0.842163134569495	0.407242659984437	NA	16
RNF217	-0.0912285476079498	0.407255112277171	0.934167774053448	16
PLCL2-AS1	-0.314352071411355	0.4072646036527	0.934167774053448	16
RPS26P5	-0.918354145315895	0.407271317982075	NA	16
RPS15AP40	1.01303461336757	0.407344629936113	NA	16
THRA	-0.0738568169104342	0.407358369453745	0.934167774053448	16
AC004233.1	0.781900706025679	0.40742488332211	NA	16
AC244093.5	-0.263048066685554	0.407432977638022	0.934167774053448	16
CGN	0.756461280240411	0.407465258001268	NA	16
AL159156.1	-1.26837508598685	0.407471143233304	NA	16
TRAJ34	0.666649118723153	0.407474475417107	NA	16
BTG1	-0.0986335645219252	0.407499508290447	0.934167774053448	16
AL450226.2	-0.607964294957216	0.407502880185006	NA	16
CBX1P4	-0.815312213926555	0.407509284347535	NA	16
ASB2	0.333523885505138	0.407513491280202	0.934167774053448	16
RNU6-613P	-0.576707572953465	0.407516088145392	NA	16
ACOT8	0.0743697740550896	0.407556005505717	0.934167774053448	16
AC120024.1	0.275199737230498	0.407567109340906	0.934167774053448	16
SMARCE1P6	0.427440824568493	0.407572560873268	NA	16
RNF165	0.28637729251454	0.407580202120564	0.934167774053448	16
MIR3146	-0.841301901996227	0.407617533699375	NA	16
DHCR24-DT	0.890731005404537	0.407632997271715	NA	16
AC022400.3	0.449932533863565	0.40767792549369	NA	16
PDZD3	-0.300640770514159	0.407713400915767	0.934167774053448	16
LINC00989	0.195258141245175	0.407736276351323	0.934167774053448	16
Z94721.1	0.39200647612158	0.407738761574198	NA	16
OR1E2	1.1390809959368	0.407752396481673	NA	16
SRXN1	0.531435468856253	0.407774502101696	NA	16
LINC01393	0.307098575692123	0.407872631935683	0.934167774053448	16
KDM6A	-0.0408799885443272	0.407883017851059	0.934167774053448	16
SNORA36C	-0.728132898315678	0.407888407442013	NA	16
AC092809.4	0.557689390224018	0.407915989520972	NA	16
FARSB	0.0722440602993529	0.407927513408912	0.934167774053448	16
SCN1B	0.145604838290359	0.407942459227524	0.934167774053448	16
TEX41	0.145443347942074	0.407976173095604	0.934167774053448	16
ANXA10	0.688797680140867	0.408023680588147	NA	16
NME2	0.389164248476773	0.408029391693052	0.934167774053448	16
WNT7A	-0.883925229751316	0.408068080369671	NA	16
SNORD46	0.249008464676929	0.408075068599556	0.934167774053448	16
CDC37L1	-0.0999544237567115	0.408099080790824	0.934167774053448	16
AC010395.1	-1.002516324121	0.408105071446053	NA	16
MYO1F	0.229403948037937	0.40810741822286	0.934167774053448	16
SDF2	-0.0641565611390763	0.408120162539832	0.934167774053448	16
HDX	-0.10870763482671	0.408123226818267	0.934167774053448	16
RNA5S9	0.608146691522039	0.408127114276729	NA	16
AP4M1	-0.0635606356626723	0.408171310954463	0.934167774053448	16
AC096559.1	-0.766743494502768	0.40820162097942	NA	16
AL512791.2	0.145006222329232	0.408229094800078	0.934167774053448	16
AC009120.2	-0.175526072431472	0.408264543963844	0.934167774053448	16
SERTAD1	0.116363919693554	0.408289398563734	0.934167774053448	16
THSD4	-0.243497169085584	0.408295605136341	0.934167774053448	16
PCBD1	0.101020061278076	0.40831155851066	0.934167774053448	16
NIPSNAP3B	-0.107781350937212	0.408318486700914	0.934167774053448	16
NARF	0.0581294406040106	0.408332021516968	0.934167774053448	16
FABP5P15	1.04692559709778	0.408365709011904	NA	16
AC104066.3	-0.938922287509479	0.408385374135352	NA	16
AL157813.1	0.198047564113959	0.408393412612648	0.934167774053448	16
RERG-IT1	-0.278835141707759	0.408395798604389	0.934167774053448	16
AC026341.1	0.379270464896312	0.408411302201284	0.934167774053448	16
AC007240.3	0.402299831379588	0.408454320760899	NA	16
BTF3P13	0.845409707978608	0.408502927630219	NA	16
RNU6-601P	1.02751911316664	0.408524516441198	NA	16
KLF8	-0.0757843056660954	0.408555665486445	0.934266630299591	16
Z85996.3	-1.45386322595479	0.408557655360285	NA	16
AL158211.3	0.61522980828732	0.408573188127152	NA	16
LINC01899	-1.4121810892355	0.40857472508055	NA	16
HSPD1P1	-0.421212847841204	0.408587182875192	NA	16
OVOL3	0.343476380416751	0.408608125335473	NA	16
AMIGO3	1.29353989973555	0.408643050501908	NA	16
KBTBD6	-0.0991564893361942	0.408645235225653	0.934266630299591	16
DEPDC1P1	-0.366739496385694	0.408682196290312	0.934266630299591	16
TIRAP	0.109272101936849	0.408683006081046	0.934266630299591	16
YTHDF3	-0.06626612789625	0.408690058297763	0.934266630299591	16
MYLK2	1.42202124733061	0.408721096929686	NA	16
LINC00852	0.145030355427383	0.408778624191864	0.934266630299591	16
KAZALD1	0.154131785388315	0.40879260404272	0.934266630299591	16
ZNF416	-0.0795958286220154	0.40879463155179	0.934266630299591	16
SLC39A2	0.713122389882063	0.408807938681427	NA	16
AC244033.2	-0.173728200258837	0.408887248590516	0.934266630299591	16
MIR3128	-0.652568956616428	0.408891902445485	NA	16
AL133399.1	1.1218570336751	0.408907317798107	NA	16
CLUH	0.0742565409198306	0.408938818848035	0.934266630299591	16
AC079203.2	0.718251713007369	0.408961369186126	NA	16
AC079385.2	-0.670725882376373	0.408979103640775	NA	16
AC092793.1	-0.280969185647934	0.408985853250939	0.934266630299591	16
AC091042.1	0.65414179542234	0.409004884139833	NA	16
SNW1	-0.0489532400790834	0.409008021044223	0.934266630299591	16
C1RL-AS1	0.137167937507119	0.409065122252159	0.934266630299591	16
ZKSCAN2-DT	-0.107170783663819	0.409070992405006	0.934266630299591	16
AL512770.1	-0.245421634927801	0.409086657387029	0.934266630299591	16
AC006116.5	0.23022687068109	0.409115437522746	0.934266630299591	16
PDK3	0.0975914733500292	0.409119703022131	0.934266630299591	16
LRP3	0.086164721147676	0.409137936689088	0.934266630299591	16
SLC25A15P3	1.42587245684779	0.409243472480831	NA	16
PIWIL1	0.815128182951498	0.409300379441064	NA	16
AC006116.4	0.455146168208719	0.409332940718928	NA	16
NUP155	0.0709305397067254	0.409344479868519	0.934503346736381	16
TRIM5	-0.0642930198131206	0.409357021925282	0.934503346736381	16
RPL6P24	0.28514560908985	0.409378422504083	0.934503346736381	16
PLA2G4C-AS1	0.472995258405719	0.40937935822775	NA	16
LINC02100	-0.667337419733716	0.409442061780126	NA	16
DRC3	-0.130942924624552	0.409478590907826	0.934503346736381	16
AC092535.2	-0.187287047480856	0.409481336195293	0.934503346736381	16
LINC02149	1.12550769469954	0.409502547394179	NA	16
AC234775.2	-0.144205926117767	0.409508495222228	0.934503346736381	16
AL358333.1	1.14489962158514	0.409516496168422	NA	16
C2orf16	-0.0900618265732334	0.4095543727339	0.934503346736381	16
AC108199.1	0.79831186679963	0.409572261650123	NA	16
RN7SL735P	-0.207035307465697	0.409594976646698	0.934503346736381	16
AC116913.1	0.113212606074049	0.409616233165265	0.934503346736381	16
TRIM16	0.101134699474827	0.409625960552685	0.934503346736381	16
BTF3P4	1.14718486497991	0.409639403060806	NA	16
TMEM250	0.0677293617846841	0.409674820164205	0.934503346736381	16
SLC39A11	-0.09867838033247	0.409697326150774	0.934503346736381	16
AC025030.2	0.647088489196771	0.409769647803656	NA	16
FAM223B	-1.27587858004893	0.409790046285932	NA	16
AC023296.1	0.418047620607547	0.409812408989424	0.934623672072871	16
KRTAP5-9	0.421381584200665	0.409836315027866	NA	16
NEK10	0.203400202182131	0.409836775134142	0.934623672072871	16
AL355512.1	0.367476755811439	0.409844428507807	NA	16
FAUP1	-0.687176030650187	0.409847246964053	NA	16
RN7SL665P	0.180075774503962	0.409864024275139	0.934623672072871	16
AP000350.5	-0.852882713191551	0.409892256135699	NA	16
AC243829.1	-0.768472335095227	0.409892257669537	NA	16
AC113167.1	0.592143699936125	0.409938813284022	NA	16
LRRC59	0.109241946410968	0.409984198027632	0.934807366189961	16
WBP1L	-0.0688292448283747	0.410020559324105	0.934807366189961	16
ATP8B5P	0.441372215012577	0.410056465984523	NA	16
RPS3AP21	0.806713493543947	0.410072863798679	NA	16
NPIPB3	0.24514681545418	0.41007627629668	0.934847779398963	16
AC244394.1	1.26504823236176	0.410082057587361	NA	16
AC118469.2	-1.03606710079903	0.410133872449105	NA	16
PPP1R35-AS1	-0.880997213045666	0.410223944517075	NA	16
RNU4-68P	-0.558160181233953	0.410290763153313	NA	16
ST13P6	0.863144514010463	0.410291353428802	NA	16
RNU6-850P	-0.412552920399087	0.410367496749259	NA	16
OVCA2	0.208189504635051	0.410383741013895	0.935129843029322	16
AL451050.2	0.524927332655709	0.410384240113072	NA	16
AL603824.1	-0.195800486334193	0.410394983668368	0.935129843029322	16
RPS14P5	0.863022560500918	0.410398454633418	NA	16
MAPRE1P3	-1.26048991413347	0.410471242114707	NA	16
SLC38A10	0.102454916610797	0.410477144231744	0.935129843029322	16
SLC7A9	0.343569823308306	0.410505668976512	0.935129843029322	16
AL035411.3	0.305000581955484	0.410507049818767	0.935129843029322	16
LMTK3	0.285600261745812	0.410507769630261	0.935129843029322	16
AC123595.2	-0.459329780816063	0.410531855112259	NA	16
SIX4	0.18848737539751	0.410534459308365	0.935129843029322	16
AL158801.3	0.366433356776734	0.410607241320905	NA	16
SUMO1P1	-0.81817289323703	0.410608578044721	NA	16
BLM	0.1638785815329	0.410625086885241	0.935129843029322	16
LEMD3	-0.0649075062310619	0.410655562846092	0.935129843029322	16
RPS26P31	1.20105841267444	0.410658891582627	NA	16
KIR2DS4	1.08433987414789	0.410721516134514	NA	16
RB1	0.064366426657229	0.410753565709943	0.935129843029322	16
RPL37P13	-0.660234144069467	0.410880670252115	NA	16
AC011742.1	1.14427787462335	0.410929610024708	NA	16
MCRIP1	0.0940776705711873	0.410943707378209	0.935129843029322	16
MIR1913	0.856297714711342	0.410952332992455	NA	16
URM1	0.0627239823005601	0.41097236725091	0.935129843029322	16
AC036178.1	-0.853284981782716	0.410983569549317	NA	16
CYP4F29P	-0.771007454420622	0.411038039625339	0.935129843029322	16
MPPE1P1	0.558617834259222	0.411065162381523	NA	16
PELI2	-0.114556242501609	0.411065170456179	0.935129843029322	16
IQCH	-0.166038831565147	0.411080203490473	0.935129843029322	16
AC010618.2	-0.304666870509413	0.4110805344845	0.935129843029322	16
SLC10A6	0.157883217096955	0.411090630364608	0.935129843029322	16
AL137157.1	-0.213280276186906	0.411109539573927	0.935129843029322	16
ZDHHC6	0.0390403539559357	0.411116619747401	0.935129843029322	16
MRPS9-AS1	0.356686223883919	0.41113757533952	0.935129843029322	16
RB1CC1	-0.053761787046397	0.411200193187469	0.935129843029322	16
AL391839.3	-0.51746262662484	0.411214769541696	NA	16
AC010198.1	-0.316059532757873	0.411257720245426	0.935129843029322	16
ANKRD62	0.739067035205514	0.411279019082273	NA	16
MIR27B	0.226222544920074	0.411364200252948	0.935129843029322	16
AC009908.1	-1.10864252523081	0.411384613087303	NA	16
CAMK4	0.184581720125027	0.411401446238925	0.935129843029322	16
AL132656.1	0.242305844855015	0.411434690590989	0.935129843029322	16
SNX2P1	-0.189468312849379	0.411450111748567	0.935129843029322	16
AC023389.2	0.233111948506539	0.411488990892387	0.935129843029322	16
CDH8	0.441574186996784	0.411496404410488	0.935129843029322	16
SEMA4B	0.130159091860089	0.411526817774283	0.935129843029322	16
PCCA-DT	0.127859880062209	0.41152855338776	0.935129843029322	16
PCED1B	-0.119423344134338	0.411561761758956	0.935129843029322	16
AL591686.1	0.518126970485775	0.411569532118438	0.935129843029322	16
AC109486.1	0.575874931084214	0.411592714815778	NA	16
AL592435.1	0.72653084968249	0.411625574734881	NA	16
ZNF22	-0.113805232190441	0.411702126374601	0.935129843029322	16
AC091812.1	1.23768180802129	0.411702336224702	NA	16
MMAA	0.0795126027817917	0.411711428180015	0.935129843029322	16
LINC01625	-0.156397358321092	0.411718739483868	0.935129843029322	16
HMGA1P8	0.878429700893652	0.411730054584585	NA	16
AC087749.2	-0.269313967443741	0.411740649825297	0.935129843029322	16
AC018638.7	0.196991624074427	0.411830183327455	0.935129843029322	16
AC022710.1	-0.808279145337858	0.411847716540832	NA	16
AC005070.2	-0.511559449946112	0.41185141461838	NA	16
DHRSX	0.0971904111942499	0.411872747207695	0.935129843029322	16
HMGN2P30	-0.540959112277019	0.411920507621001	NA	16
RBM12	-0.0673826263951912	0.411921586356309	0.935129843029322	16
RNU6-1306P	0.655237916512954	0.411970048301769	NA	16
SLC25A1P1	-0.704494420103594	0.411978472675876	NA	16
AC079907.1	0.623066714614625	0.412000061423433	NA	16
AL355433.1	0.437423347841797	0.412050005196008	NA	16
LINC02511	-0.155151693449939	0.412186075057322	0.935129843029322	16
AL451123.1	0.11704353435432	0.412195691491008	0.935129843029322	16
AC132938.3	0.223811793256577	0.412205391511672	0.935129843029322	16
DLEU2L	-0.162526710908672	0.412221523282325	0.935129843029322	16
LINC01545	0.444439200637374	0.412244346988622	NA	16
PSMC1P9	1.12798496062241	0.412250972149169	NA	16
AL138963.2	0.795431171743314	0.412315063874745	NA	16
AL354893.1	-0.439418284902881	0.412319482553246	NA	16
OSTN	-0.59513728759286	0.412337506833248	NA	16
AC008868.1	0.730292060869295	0.412345842162861	NA	16
CYTOR	0.105869365449443	0.4123544332413	0.935129843029322	16
SLC2A2	0.637321035626495	0.412355600250538	NA	16
SPCS3-AS1	0.351918681632495	0.41236323271607	0.935129843029322	16
AC012653.1	0.387169189407097	0.412379909199071	NA	16
AL731534.1	-1.12657169008664	0.412443920737084	NA	16
THAP3	-0.102716722127277	0.412462728578258	0.935129843029322	16
SOX6	0.0837808761723894	0.41246425136314	0.935129843029322	16
C17orf113	0.151257548396312	0.412518043909421	0.935129843029322	16
AL049870.3	-0.233056251329007	0.412562723257931	0.935129843029322	16
AC008957.1	0.180795148237519	0.412588069923133	0.935129843029322	16
RPL10P14	-1.12436445614861	0.4125970723622	NA	16
MIR3115	-0.910275301087087	0.412694224009215	NA	16
RN7SL121P	-1.12828032005728	0.412698558169937	NA	16
SPATS2L	0.0587492592301417	0.412750701579293	0.935129843029322	16
AL132780.5	0.184948250798444	0.412781593045115	0.935129843029322	16
AC093520.2	-0.452064215979422	0.412810628311729	0.935129843029322	16
AC008691.1	0.449545977612046	0.412819015736728	NA	16
BPNT2P	0.776735446761053	0.412826682213646	NA	16
LINC02269	1.2073760253301	0.412860349012022	NA	16
AC090373.1	0.313850149858112	0.412882036957695	0.935129843029322	16
STMN4	0.820030923694638	0.412892228564492	NA	16
IGHV3-66	1.37149442546397	0.412909479295901	NA	16
OCLN	-0.374311596227511	0.412910593204826	0.935129843029322	16
FGF9	-0.391331750624364	0.412913852413864	0.935129843029322	16
WDHD1	0.0763075304127161	0.412919070501687	0.935129843029322	16
RPL11	-0.0615611298571567	0.412965366741845	0.935129843029322	16
AL358473.1	1.28876388120759	0.412996631571164	NA	16
RIMS1	-0.280799771008253	0.412997135737972	0.935129843029322	16
AC004888.1	-0.420523119033112	0.413022480580699	NA	16
AC114402.1	-0.147719842777471	0.413050770503076	0.935129843029322	16
AL121957.1	-0.249699315227644	0.413055357515225	0.935129843029322	16
PRPF18	-0.0770171135065835	0.413092025728284	0.935129843029322	16
MIR4635	0.506767331383058	0.413095546830266	NA	16
C1orf174	0.0677603553260767	0.413111265664982	0.935129843029322	16
LINC02241	1.26934656927878	0.413128286316737	NA	16
DLG5-AS1	0.438581481125208	0.413128747536499	NA	16
RN7SL151P	0.0926252217640952	0.413168765543516	0.935129843029322	16
AC027682.7	-0.196484985402421	0.413244400460951	0.935129843029322	16
KCNT2	0.175057503652278	0.413285627932085	0.935129843029322	16
AL161756.2	-0.438855523090989	0.413307219219849	NA	16
MAPK8IP1	0.132960126209171	0.413329764035675	0.935129843029322	16
AC036176.2	-0.140447688444764	0.413339498883174	0.935129843029322	16
DNALI1	-0.132000292581302	0.413346058606007	0.935129843029322	16
AC006111.2	0.209845217722837	0.413399234012494	0.935129843029322	16
RN7SL411P	-0.245827682790492	0.413408025400933	0.935129843029322	16
AC009495.3	-0.42478510953537	0.413414576543647	NA	16
SNORD113	-0.44590758904201	0.413422172505783	NA	16
BSN-DT	-0.650977188215993	0.413423641958427	NA	16
AL161742.1	0.25278068154498	0.413428850271186	0.935129843029322	16
KLHL15	-0.0825195129120679	0.41344308152961	0.935129843029322	16
ATL3	-0.0967252331174338	0.413453566940728	0.935129843029322	16
AL583842.3	0.839132365245221	0.413453753224109	NA	16
MIR579	-0.540788700966583	0.413454915228473	NA	16
ZNF573	-0.0692744300054534	0.413482701340463	0.935129843029322	16
AC104623.2	0.640760521158778	0.413493062120858	NA	16
OR10AE3P	1.11983866187621	0.413522131144886	NA	16
AC007880.1	1.11299800527886	0.413531213209599	NA	16
FCF1P1	-0.440825238880218	0.413597501827224	NA	16
AL138962.1	0.418377841977923	0.413597814054234	0.935129843029322	16
FAM96AP2	-0.374658250107541	0.413612255261452	0.935129843029322	16
NPBWR1	1.25107838042091	0.413632824072981	NA	16
MRPL30	0.0558958032811844	0.413687367335835	0.935129843029322	16
GAS6-AS1	0.159013565632486	0.413691744749758	0.935129843029322	16
AC116563.1	0.346109532051817	0.413695470518505	0.935129843029322	16
RN7SL23P	-0.276386031707192	0.413701839624423	0.935129843029322	16
UTP4	0.0808042733293064	0.413710155290057	0.935129843029322	16
ALKBH1	-0.0698718777683393	0.413715602117084	0.935129843029322	16
AC007938.2	-0.306827918675664	0.413747127920583	0.935129843029322	16
MIR4322	0.919362035417936	0.413771555294281	NA	16
AC139768.1	-0.149149275718364	0.413790419635347	0.935129843029322	16
EFTUD2	0.0604778493813112	0.413803985759099	0.935129843029322	16
GVQW3	-0.0986849362340664	0.413821695121668	0.935129843029322	16
SOCS4	-0.0893680638437875	0.413823839264	0.935129843029322	16
AC106707.2	0.381689790953515	0.413870005278069	NA	16
MIR1185-1	0.853840755764902	0.413900371958813	NA	16
MAGOH2P	-0.180265233077566	0.413915438950192	0.935129843029322	16
AL355075.4	0.0863751384388787	0.41395203598624	0.935129843029322	16
AL118496.1	-0.862799288661992	0.413994225763971	NA	16
PSMA3	0.0845659974527815	0.41400141999869	0.935129843029322	16
PITPNA	0.039927588299751	0.414002357650009	0.935129843029322	16
FAM238A	-0.246924070453312	0.414003853567818	0.935129843029322	16
FZD5	-0.123992138540883	0.414034823513523	0.935129843029322	16
AC090197.1	-0.155113376256103	0.414036317200396	0.935129843029322	16
TPX2	0.152641245663661	0.414041585343338	0.935129843029322	16
AL451007.1	-0.286139686260307	0.414046422449479	0.935129843029322	16
PCDHGB3	-0.105010578159859	0.414054555825601	0.935129843029322	16
MAPK14	-0.0521422497553936	0.414094513716839	0.935129843029322	16
AP005019.1	0.476589269243327	0.414168602373095	NA	16
RN7SKP96	-0.409536223301139	0.414175609836095	0.935129843029322	16
PPP6R2	0.0411138740503034	0.414178101613481	0.935129843029322	16
AL354696.2	-0.195227322970274	0.414185741238397	0.935129843029322	16
LINC02584	-0.680601645017153	0.414211369614028	NA	16
RNU7-48P	-0.949975625652768	0.414257007815072	NA	16
CDC42P6	0.41870121367728	0.414259090601061	NA	16
CYTIP	0.260783288056067	0.414276186476992	0.935129843029322	16
IP6K3	-0.772724777391966	0.414277595987159	NA	16
AC007389.2	-1.00157896086103	0.414334593902623	NA	16
AP000944.1	-1.08876568841755	0.414358289744276	NA	16
MEA1	-0.0814044869403643	0.414391855177168	0.935129843029322	16
NTM-AS1	-0.169611773017722	0.41439592411311	0.935129843029322	16
RN7SL267P	0.764935328795031	0.414513536175479	NA	16
CNIH3-AS1	0.656535570584477	0.41454635168162	NA	16
AC006953.1	0.719242416373538	0.414549559746229	NA	16
CRLS1	0.164162596976459	0.414601804309636	0.935129843029322	16
AP000845.1	0.209926639114286	0.414631076562735	0.935129843029322	16
AL078582.1	0.417553202684742	0.414649947297075	NA	16
PHF21B	1.01690906388655	0.414658784621261	NA	16
AP001486.1	-0.722435130626878	0.414662660567452	NA	16
AL136164.3	-0.14445413280946	0.4148093283338	0.935129843029322	16
CFAP58	-0.197680299857268	0.414811680608424	0.935129843029322	16
SH3PXD2A	0.0938388379423827	0.414857337803345	0.935129843029322	16
AC026167.1	0.545405076259578	0.414869849943844	NA	16
BAZ2B	-0.0664197463003804	0.414913109278538	0.935129843029322	16
AL132799.1	-1.1453836452456	0.414948139360418	NA	16
MIR4772	0.928715317642578	0.414968817322374	NA	16
AC080079.2	1.2690628102074	0.414982291970651	NA	16
AL358334.2	-0.368642480224076	0.415027843321381	0.935129843029322	16
TTLL11	0.116291718560396	0.415038122085428	0.935129843029322	16
JAZF1-AS1	-0.576308975344217	0.415049811256982	NA	16
EFNB3	0.294508238665728	0.415105064392437	0.935129843029322	16
LINC00656	0.731079906050999	0.415135851449406	NA	16
RNU1-132P	1.28912655544558	0.41517210731219	NA	16
SHROOM3-AS1	-0.340357937378935	0.415173259995147	0.935129843029322	16
OTUD5	-0.0548247033889881	0.415201703197006	0.935129843029322	16
POLR1D	-0.0495965690693456	0.415204673417619	0.935129843029322	16
AC108210.1	0.623470888405901	0.415226036040593	NA	16
AC026954.1	-0.601897753836315	0.415226482487871	NA	16
AC022306.2	0.222911477943359	0.415254148072501	0.935129843029322	16
EWSR1	-0.0436655611640178	0.415285091050833	0.935129843029322	16
DNAAF3	0.604980509970386	0.415285232269633	NA	16
AC114550.3	1.41460337853756	0.415320585841569	NA	16
RDXP3	1.00166460959995	0.415346266541702	NA	16
FGFBP1	0.72453439628888	0.415355829445724	NA	16
HIKESHIP2	-0.646192339202185	0.415389191160703	NA	16
BLOC1S3	0.108330507823236	0.415412479680268	0.935129843029322	16
AL928654.1	-0.121052592195514	0.415421156616109	0.935129843029322	16
