	logFC	AveExpr	t	P.Value	adj.P.Val	B
232536_at	0.0476875000000003	6.49757875	0.254919817324896	0.804366976857861	0.999986929681082	-4.81774593157944
238710_at	0.0327550000000008	5.4098775	0.254886985820848	0.804391576286918	0.999986929681082	-4.81774938269287
225197_at	-0.0305000000000035	8.657905	-0.254844897523983	0.804423111819068	0.999986929681082	-4.81775380620708
222451_s_at	-0.0500949999999989	9.504335	-0.254838502404525	0.804427903527962	0.999986929681082	-4.81775447827686
206039_at	0.122752500000001	8.22667625	0.25477545913827	0.804475140787986	0.999986929681082	-4.81776110267731
202579_x_at	0.0294749999999997	11.0971125	0.254762740393618	0.80448467083085	0.999986929681082	-4.8177624389313
1561445_at	0.0354074999999998	3.37455875	0.254746258163843	0.80449702087038	0.999986929681082	-4.81776417048676
230245_s_at	0.0283100000000003	4.898725	0.254724816434562	0.804513087119636	0.999986929681082	-4.81776642290303
225928_at	0.0357400000000005	7.7523275	0.254693352650792	0.804536663051144	0.999986929681082	-4.8177697277832
208115_x_at	-0.0360475000000013	5.21689375	-0.254691822375644	0.80453780969737	0.999986929681082	-4.81776988850945
230088_at	-0.0257075000000011	4.45052125	-0.254666611671822	0.804556700330697	0.999986929681082	-4.81777253627766
1562634_at	-0.0319999999999996	2.84531	-0.254648770847114	0.804570068720305	0.999986929681082	-4.81777440986543
208525_s_at	0.027352500000001	4.22126625	0.254583546154532	0.804618943100543	0.999986929681082	-4.81778125846737
202020_s_at	-0.0602249999999991	10.6037625	-0.254580901090332	0.804620925127557	0.999986929681082	-4.81778153616331
240718_at	-0.0250275000000002	2.59841375	-0.25445267392756	0.804717011399865	0.999986929681082	-4.81779499489779
232452_at	-0.0612075000000001	3.55215625	-0.254452513919998	0.804717131302749	0.999986929681082	-4.81779501168806
222869_s_at	0.0731075000000017	7.20380125	0.254442203901796	0.80472485720464	0.999986929681082	-4.81779609353997
238173_at	-0.0351499999999998	5.189485	-0.254425591729812	0.80473730572725	0.999986929681082	-4.81779783660002
1561650_s_at	0.0319824999999998	3.37656125	0.254374681764937	0.804775456057018	0.999986929681082	-4.81780317772081
215456_at	0.0251724999999983	4.19940625	0.254359009940514	0.804787200139802	0.999986929681082	-4.81780482168975
210069_at	0.0370099999999987	4.7979125	0.254345358766047	0.804797430038802	0.999986929681082	-4.81780625361254
221693_s_at	-0.038920000000001	9.9851725	-0.254325104075065	0.804812608544267	0.999986929681082	-4.81780837806449
